Substance,Formula,A,B,C
Acetaldeído,C2H4O,7.05648,1070.60,236
Ácido acético,C2H4O2,7.29964,1479.02,216.81
Acetona,C3H6O,7.02447,1161,224
Acetileno,C2H2,7.09990,711.00,253.38
Amônia,NH3,7.36048,926.13,240.17
Benzeno,C6H6,6.90565,1211.033,220.79
n-Butano,C4H10,6.80897,935.86,238.73
n-Butanol,C4H10O,7.838,1558.190,196.881
Ciclohexano,C6H12,6.84132,1201.53,222.65
Etano,C2H6,6.80267,656.4028,255.99
Acetato de etila,C4H8O2,7.01457,1211.90,216
Álcool etílico,C2H6O,8.04494,1554.3,222.65
Etilbenzeno,C8H10,6.95719,1424.255,213.206
Etileno,C2H4,6.74756,585.00,255
Hidrogênio,H2,5.92088,71.6153,276.34
Álcool isopropílico,C3H8O,8.11822,1580.92,219.61
Isopentano,C5H12,6.78967,1020.012,233.097
Metano,CH4,6.61184,389.9278,265.99
Álcool metílico,CH4O,8.07247,1574.99,238.86
Metil etil cetona,C4H8O,6.97421,1209.6,216
n-Decano,C10H22,6.95367,1501.2724,194.48
n-Heptano,C7H16,6.9024,1268.115,216.9
n-Hexano,C6H14,6.87776,1171.53,224.366
n-Octano,C8H18,6.91868,1351.99,209.15
n-Pentano,C5H12,6.85221,1064.63,232
Propano,C3H8,6.82970,813.2008,247.99
Estireno,C8H8,6.92409,1420,206
Tolueno,C7H8,6.95334,1343.943,219.377
Água,H2O,7.94917,1657.462,227.02
o-Xileno,C8H10,6.99893,1474.68,213.69
